"base_url","search_term","result_type","competitor_url","similarity_score","word_count","prodImage","compImage","json_ld_found","brand","model","gtin","price"
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://mms.mckesson.com/product/1187707/McKesson-Brand-87-50SG",0.953125,1465,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1187707_front.jpg","Yes","McKesson","87-50SG","",""
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://www.wholesalepoint.com/products/mckesson-87-50sg-pk.html?srsltid=AfmBOoqcQeh-Km1mfiYlycnBVVVVmjlVX6hs5QqZu6OH2VB4D5-L3kTo","N/A",6215,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://www.wholesalepoint.com/mm5/","No","","","",""
"https://www.bettymills.com/mckesson-ecg-snap-electrode-monitoring-non-radiolucent-50-per-pack-87-50sg-mon1187707pk","McKesson ECG Snap Electrode, Monitoring Non-Radiolucent - McKesson 87-50SG PK - Betty Mills","organic","https://mms.mckesson.com/product/1187712/McKesson-Brand-87-330",0.6875,1351,"https://cf1.bettymills.com/store/images/product/500/MON1187707.JPG","https://imgcdn.mckesson.com/CumulusWeb/Images/High_Res/1187712_ppkgright.jpg","Yes","McKesson","87-330","",""
"https://www.bettymills.com/dickies-mens-industrial-color-block-short-sleeve-shirt-24bker-rg-3xl-vfi24bker-rg-3xl","Dickies Men's Industrial Color Block Short-Sleeve Shirt - Dickies 24BKER-RG-3XL EA - Betty Mills","organic","https://www.shopprudentialuniforms.com/men-39-s-industrial-color-block-short-45-sleeve-shirt/2727938/p","N/A",3868,"https://cf1.bettymills.com/store/images/product/500/VFI24BKER.JPG","https://test10.azureedge.net/images/42826/siteseal_gd_3_h_d_m.gif","No","","","",""
"https://www.bettymills.com/dickies-mens-industrial-color-block-short-sleeve-shirt-24bker-rg-3xl-vfi24bker-rg-3xl","Dickies Men's Industrial Color Block Short-Sleeve Shirt - Dickies 24BKER-RG-3XL EA - Betty Mills","organic","https://www.usaworkuniforms.com/products/dickies-s-s-industrial-color-block-shirt-24?srsltid=AfmBOooperB3f3x1bIj_PMmjdzJwtyxnQWuFko74SGxw9OUUbDUYaqH3",0.671875,11727,"https://cf1.bettymills.com/store/images/product/500/VFI24BKER.JPG","http://www.usaworkuniforms.com/cdn/shop/products/24BKCH_800x.jpg?v=1748853577","No","","","",""
